File,Frame,X,Y,Z
-,145,-63.076061,-32.050079,-7.08203
-,146,-63.285419,-31.582111,-7.065717
-,147,-64.18251,-30.945017,-7.524949
-,148,-65.236198,-30.037844,-8.674658
-,149,-65.973717,-29.456953,-9.870027
-,150,-66.896301,-28.84156,-10.862075
-,151,-68.032173,-28.157177,-12.11022
-,152,-68.7174,-27.573727,-12.30783
-,153,-69.039543,-27.280642,-12.198614
-,154,-69.508812,-27.19136,-12.680888
-,155,-69.938606,-27.206656,-12.868095
-,156,-70.2537,-27.149529,-13.166137
-,157,-70.232903,-27.236582,-13.425567
-,158,-70.571091,-27.371105,-13.684406
-,159,-70.900093,-27.578165,-14.005261
-,160,-71.367378,-27.927256,-14.297287
-,161,-71.741295,-28.295721,-14.882798
-,162,-72.111626,-28.650772,-15.11523
-,163,-72.437592,-29.052299,-15.283105
-,164,-72.847076,-29.297222,-15.460193
-,165,-73.006882,-29.426611,-15.781713
-,166,-73.28598,-29.530893,-15.980433
-,167,-73.380905,-29.486494,-16.14389
-,168,-73.527626,-29.278299,-16.402559
-,169,-73.773163,-29.017939,-16.852365
-,170,-74.063454,-28.783743,-17.273245
-,171,-74.618141,-28.625978,-17.941051
-,172,-75.486115,-28.632523,-18.827696
-,173,-76.438187,-28.565153,-19.329166
-,174,-77.249313,-28.456936,-19.677158
-,175,-78.001961,-28.352364,-19.984169
-,176,-78.695869,-28.258322,-20.4692
-,177,-79.533867,-28.034374,-21.053574
-,178,-80.36338,-27.941341,-21.368778
-,179,-81.278725,-27.997822,-21.636381
-,180,-82.234085,-28.051725,-21.813133
-,181,-83.445358,-27.754551,-22.233892
-,182,-84.426186,-27.638186,-22.607819
-,183,-85.469833,-27.544548,-22.964005
-,184,-85.340103,-27.682867,-20.812271
-,185,-83.64679,-28.725542,-17.566788
-,186,-80.002037,-31.147177,-13.557824
-,187,-73.974121,-32.789879,-8.570965
-,188,-70.63076,-29.637157,-5.867472
-,189,-70.233971,-25.652151,-5.855865
-,190,-71.483215,-22.770491,-6.855768
-,191,-72.357544,-19.807629,-7.401917
-,192,-73.633286,-18.178352,-7.33956
-,193,-75.012733,-17.670643,-7.885951
-,194,-76.066742,-16.901743,-8.365045
-,195,-77.004547,-16.282047,-8.417626
-,196,-77.820183,-15.433475,-8.337659
-,197,-78.50795,-15.588345,-8.077593
-,198,-79.347443,-16.095562,-8.075095
-,199,-80.029968,-16.606644,-8.197046
-,200,-80.411049,-17.208614,-8.021506
-,201,-80.871635,-17.746984,-7.636201
-,202,-81.344414,-18.044319,-7.566808
-,203,-81.78611,-17.634441,-7.821315
-,204,-82.284714,-16.569712,-8.446527
-,205,-82.661827,-15.5521,-8.660775
-,206,-82.995033,-14.901687,-9.058112
-,207,-83.183319,-14.941191,-9.083812
-,208,-83.33152,-15.452147,-8.868937
-,209,-83.502708,-16.107357,-8.677791
-,210,-83.657356,-16.587063,-8.592391
-,211,-83.712845,-16.862524,-8.231921
-,212,-83.810364,-16.970358,-8.112967
-,213,-83.927589,-17.103476,-8.152467
-,214,-83.985748,-17.192387,-8.01694
-,215,-83.928825,-17.135904,-7.941277
-,216,-84.146965,-17.313429,-7.884898
-,217,-84.360237,-17.423153,-8.005676
-,218,-84.4823,-17.517239,-8.009393
-,219,-84.539902,-17.786226,-8.166283
-,220,-84.948868,-17.94998,-8.216782
-,221,-85.264091,-18.028809,-8.373476
-,222,-85.681023,-18.20837,-8.53152
-,223,-86.032509,-18.392817,-8.398047
-,224,-86.205101,-18.285994,-8.568679
-,225,-86.478706,-18.43553,-8.566576
-,226,-86.723648,-18.844561,-8.695448
-,227,-87.234146,-19.086143,-8.83055
-,228,-87.407082,-19.686863,-8.771271
-,229,-87.682564,-20.288958,-8.905859
-,230,-88.005424,-20.579134,-9.153543
-,231,-88.290047,-20.612957,-9.412252
-,232,-88.442902,-20.786127,-9.633662
-,233,-88.696762,-20.985281,-9.992493
-,234,-88.837212,-21.089151,-10.318315
-,235,-89.070465,-21.350431,-10.802592
-,236,-89.118721,-21.624559,-11.285593
-,237,-88.939491,-21.908239,-11.795839
-,238,-88.927689,-22.142958,-12.433107
-,239,-88.658264,-22.302143,-13.026949
-,240,-88.210846,-22.56826,-13.773138
-,241,-87.396317,-23.05991,-14.243686
-,242,-86.338432,-23.67523,-14.867804
-,243,-84.596771,-24.644289,-14.989071
-,244,-82.277412,-26.628572,-15.127538
-,245,-78.611702,-29.843323,-14.15977
-,246,-73.869652,-33.919399,-11.982344
-,247,-67.210983,-38.5882,-7.473463
-,248,-60.105152,-41.844326,-1.660295
-,249,-53.689041,-42.285816,2.206127
-,250,-48.593658,-40.22813,4.165378
-,251,-44.082638,-36.920818,5.963953
-,252,-40.885227,-33.133141,5.817098
-,253,-38.738689,-29.716339,4.510684
-,254,-37.395157,-26.574575,2.308849
-,255,-37.324718,-24.256433,-1.228642
-,256,-39.805096,-22.849489,-4.810865
-,257,-42.507992,-22.625576,-6.437636
-,258,-45.53088,-23.129543,-6.411997
-,259,-49.049355,-23.9667,-5.438686
-,260,-52.482174,-25.314842,-4.833785
-,261,-55.588356,-26.704981,-4.145588
-,262,-57.858204,-27.954538,-3.21693
-,263,-59.170128,-28.907717,-2.223073
-,264,-59.236969,-29.49202,-0.393804
-,265,-60.270035,-29.499567,-0.075052
-,266,-61.792839,-29.206501,-0.559334
-,267,-64.169876,-28.736952,-1.76634
-,268,-66.607506,-28.274517,-3.072395
-,269,-69.026352,-27.908445,-3.069766
-,270,-70.438469,-27.661797,-2.216886
-,271,-71.603706,-27.394054,-1.457391
-,272,-72.842476,-26.800644,-1.361207
-,273,-74.178101,-26.061754,-1.933902
-,274,-74.924965,-25.072943,-1.640325
-,275,-75.608742,-24.506046,-1.405581
-,276,-76.22644,-24.037046,-1.615834
-,277,-76.597298,-23.822161,-1.65236
-,278,-77.028061,-23.784735,-1.741994
-,279,-77.383362,-23.87641,-1.808255
-,280,-77.748756,-23.885733,-2.277889
-,281,-77.908943,-23.883467,-2.817861
-,282,-78.444725,-23.819675,-3.537824
-,283,-79.054657,-23.67816,-4.707732
-,284,-79.685814,-23.893621,-6.091019
-,285,-80.527481,-24.380781,-7.613502
-,286,-81.24086,-25.532663,-8.850455
-,287,-81.763054,-26.918125,-9.98851
-,288,-82.15638,-28.250763,-11.344135
-,289,-82.442497,-29.443157,-12.697489
-,290,-82.498772,-30.384485,-13.897945
-,291,-82.647713,-30.413015,-14.460687
-,292,-82.539986,-29.851145,-14.892705
-,293,-82.326859,-29.05526,-15.161174
-,294,-82.227966,-28.312176,-15.888815
-,295,-82.394302,-27.920969,-17.0061
-,296,-82.616768,-28.014322,-18.158804
-,297,-82.983231,-28.363434,-19.218908
-,298,-83.406425,-29.103207,-20.358995
-,299,-84.095604,-30.139149,-21.221249
-,300,-84.657898,-30.754692,-22.008144
-,301,-85.397156,-30.857201,-22.292631
-,302,-85.71196,-30.341732,-22.415277
-,303,-86.139565,-29.397701,-22.471937
-,304,-86.361092,-28.591002,-21.026701
-,305,-85.786781,-28.896393,-17.848001
-,306,-83.406723,-30.89296,-14.481898
-,307,-77.358643,-33.29369,-9.512656
-,308,-72.627762,-30.235899,-6.751798
-,309,-70.122551,-24.166424,-7.036766
-,310,-68.42646,-20.372034,-6.771367
-,311,-69.309242,-18.555378,-5.878571
-,312,-70.08754,-15.965146,-5.738585
-,313,-71.990234,-14.563188,-6.014544
-,314,-73.72979,-13.891773,-6.950518
-,315,-74.777336,-13.173528,-7.447395
-,316,-75.665504,-12.861674,-7.366553
-,317,-76.479836,-13.993045,-6.619667
-,318,-77.251411,-15.319122,-6.14574
-,319,-77.925972,-16.789598,-5.703467
-,320,-78.643944,-18.352911,-5.139577
-,321,-79.080399,-19.206133,-4.656937
-,322,-79.553246,-19.202187,-4.627462
-,323,-80.0914,-18.148146,-5.216963
-,324,-80.653297,-16.440845,-5.678399
-,325,-81.010208,-15.128299,-6.293941
-,326,-81.318741,-14.821526,-6.401265
-,327,-81.60759,-15.444704,-6.224006
-,328,-81.776344,-16.439833,-5.921207
