File,Frame,X,Y,Z,Reliability
-,136,0.292491,-0.242254,0.055888,0.87
-,137,0.292542,-0.222363,0.060224,0.84
-,138,0.291799,-0.202851,0.064328,0.67
-,139,0.290895,-0.184237,0.066885,0.61
-,140,0.288383,-0.166701,0.068563,0.64
-,141,0.285298,-0.150023,0.069079,0.58
-,142,0.282023,-0.134045,0.068185,0.64
-,143,0.278264,-0.118203,0.066968,0.7
-,144,0.274283,-0.102623,0.065062,0.76
-,145,0.270271,-0.086677,0.064015,1.1
-,146,0.265927,-0.070677,0.062656,0.73
-,147,0.261928,-0.054017,0.06182,0.74
-,148,0.257317,-0.036694,0.061807,0.91
-,149,0.253406,-0.019716,0.06194,0.84
-,150,0.250143,-0.002656,0.062091,0.8
-,151,0.247499,0.014687,0.062821,0.88
-,152,0.245696,0.031395,0.063675,0.88
-,153,0.245097,0.047994,0.064338,0.84
-,154,0.244633,0.064804,0.065483,0.89
-,155,0.244825,0.080606,0.066184,0.74
-,156,0.245315,0.096725,0.067385,0.77
-,157,0.245585,0.112477,0.068555,0.84
-,158,0.246092,0.128314,0.070185,0.83
-,159,0.246637,0.144337,0.07251,0.78
-,160,0.247354,0.160032,0.075418,0.91
-,161,0.247402,0.175704,0.078678,0.8
-,162,0.247484,0.19118,0.082272,0.85
-,163,0.24768,0.206216,0.085998,0.93
-,164,0.2474,0.220856,0.090196,1.01
-,165,0.246158,0.234874,0.094422,1.25
-,166,0.245708,0.248368,0.098921,1.25
-,167,0.244651,0.26132,0.103233,0.97
-,168,0.243716,0.273491,0.107635,1.03
-,169,0.242012,0.28463,0.112336,0.87
-,170,0.240826,0.294602,0.117493,0.8
-,171,0.240039,0.303586,0.123488,0.74
-,172,0.239199,0.311399,0.129811,0.94
-,173,0.239044,0.317512,0.135577,0.86
-,174,0.239284,0.322548,0.140646,0.89
-,175,0.240187,0.326376,0.144765,0.79
-,176,0.24111,0.328559,0.148416,0.81
-,177,0.242176,0.329013,0.150688,0.76
-,178,0.243933,0.328152,0.151426,0.76
-,179,0.246279,0.325823,0.151249,0.84
-,180,0.249176,0.321685,0.149578,0.84
-,181,0.252237,0.315321,0.146717,0.69
-,182,0.2559,0.307717,0.142322,0.85
-,183,0.259577,0.298458,0.136121,0.78
-,184,0.265773,0.288342,0.127463,0.8
-,185,0.272977,0.280469,0.116636,0.79
-,186,0.279777,0.274946,0.104049,0.8
-,187,0.282566,0.272028,0.087263,0.77
-,188,0.28142,0.268765,0.070959,0.96
-,189,0.283113,0.261091,0.063515,0.96
-,190,0.285185,0.251234,0.06241,0.91
-,191,0.284867,0.243894,0.058238,0.89
-,192,0.285973,0.235187,0.056075,0.9
-,193,0.286908,0.225918,0.054913,1.12
-,194,0.287287,0.216434,0.05337,1.14
-,195,0.287612,0.206348,0.052302,1.11
-,196,0.287818,0.196168,0.051419,1.2
-,197,0.287904,0.185486,0.050638,1.18
-,198,0.28805,0.17495,0.049982,1.24
-,199,0.288199,0.164281,0.049507,1.21
-,200,0.288133,0.153372,0.048838,1.28
-,201,0.288288,0.142611,0.04832,1.21
-,202,0.288119,0.131761,0.047883,1.06
-,203,0.28822,0.120659,0.047665,1.26
-,204,0.288309,0.109436,0.047373,1.26
-,205,0.288425,0.098128,0.046931,1.26
-,206,0.288267,0.086557,0.046601,1.06
-,207,0.288265,0.074952,0.046303,1.26
-,208,0.288337,0.063568,0.045678,1.02
-,209,0.288501,0.05228,0.045199,1.19
-,210,0.288395,0.041126,0.044803,0.96
-,211,0.288551,0.029951,0.044749,1.23
-,212,0.288512,0.019194,0.044539,1.11
-,213,0.288595,0.008686,0.04432,1.01
-,214,0.288977,-0.00132,0.044032,1.01
-,215,0.288926,-0.011851,0.044084,0.96
-,216,0.288909,-0.022331,0.043884,0.98
-,217,0.288983,-0.032876,0.043888,1.24
-,218,0.289014,-0.043591,0.043596,1.25
-,219,0.289061,-0.054372,0.043568,1.27
-,220,0.288669,-0.065707,0.043191,1.02
-,221,0.288096,-0.076778,0.042864,0.68
-,222,0.288162,-0.08748,0.043197,0.7
-,223,0.288742,-0.098125,0.043324,1.19
-,224,0.288648,-0.109017,0.043173,1.23
-,225,0.288815,-0.12009,0.043031,1.18
-,226,0.288453,-0.131328,0.04295,0.98
-,227,0.288486,-0.14264,0.042822,1
-,228,0.288452,-0.153977,0.042627,0.94
-,229,0.288432,-0.165351,0.042603,1.22
-,230,0.288544,-0.176854,0.042381,1.19
-,231,0.288333,-0.188727,0.042001,0.72
-,232,0.288447,-0.200163,0.041904,0.94
-,233,0.288569,-0.21193,0.041809,0.97
-,234,0.288764,-0.223813,0.041615,0.93
-,235,0.288694,-0.235756,0.041507,1.18
-,236,0.288862,-0.247774,0.041324,0.94
-,237,0.288793,-0.25992,0.041175,0.91
-,238,0.288912,-0.272407,0.040892,0.91
-,239,0.288934,-0.284873,0.0409,0.98
-,240,0.288857,-0.297496,0.040749,1.21
-,241,0.28913,-0.310567,0.040609,0.96
-,242,0.289164,-0.323545,0.040645,1.23
-,243,0.289032,-0.337133,0.040467,0.74
-,244,0.288877,-0.350371,0.040843,0.83
-,245,0.288287,-0.363528,0.041046,1.23
-,246,0.287989,-0.37569,0.040779,1.01
-,247,0.287281,-0.386161,0.039246,1.16
-,248,0.286488,-0.393978,0.037969,0.94
-,249,0.285454,-0.40024,0.036405,0.87
-,250,0.284527,-0.405741,0.03511,0.96
-,251,0.283165,-0.410704,0.033254,1.23
-,252,0.282237,-0.415971,0.030596,1.01
-,253,0.281087,-0.420086,0.026537,1.18
-,254,0.280201,-0.424781,0.021998,0.82
-,255,0.279031,-0.423304,0.023069,0.96
-,256,0.27949,-0.411731,0.030287,0.91
-,257,0.280687,-0.39641,0.036478,0.92
-,258,0.282726,-0.378577,0.042336,0.7
-,259,0.285602,-0.359004,0.047618,0.74
-,260,0.287486,-0.338224,0.053967,0.64
-,261,0.289444,-0.317474,0.059942,0.85
-,262,0.290899,-0.297817,0.064891,0.49
-,263,0.291311,-0.279336,0.068012,0.78
-,264,0.291048,-0.262727,0.06871,0.73
-,265,0.288955,-0.245477,0.068704,0.7
-,266,0.28471,-0.225909,0.069689,0.7
-,267,0.278682,-0.204467,0.070878,0.84
-,268,0.272045,-0.182256,0.071701,0.73
-,269,0.26499,-0.159812,0.072652,1.04
-,270,0.25853,-0.138678,0.073475,0.91
-,271,0.252529,-0.117932,0.073657,0.78
-,272,0.246013,-0.096738,0.074809,0.84
-,273,0.240334,-0.076307,0.075944,0.67
-,274,0.235868,-0.055973,0.07705,0.78
-,275,0.232967,-0.036374,0.077948,0.85
-,276,0.231717,-0.01693,0.079276,0.82
-,277,0.231861,0.002047,0.080619,0.81
-,278,0.233033,0.02085,0.082617,0.86
-,279,0.235078,0.03938,0.084843,0.87
-,280,0.237208,0.057829,0.087473,0.87
-,281,0.239094,0.075867,0.090501,0.83
-,282,0.240317,0.09369,0.094231,0.76
-,283,0.241192,0.11132,0.098724,0.93
-,284,0.241848,0.12816,0.104098,1
-,285,0.242935,0.144835,0.110313,0.9
-,286,0.244262,0.16071,0.116808,0.82
-,287,0.245542,0.175625,0.123219,0.86
-,288,0.246987,0.190192,0.129333,0.87
-,289,0.248329,0.203845,0.135352,0.82
-,290,0.249762,0.216655,0.140925,0.82
-,291,0.251395,0.228771,0.145949,0.76
-,292,0.253314,0.239831,0.150366,0.72
-,293,0.255957,0.250342,0.15447,0.73
-,294,0.25846,0.25938,0.158771,0.84
-,295,0.26119,0.266573,0.163229,0.93
-,296,0.264636,0.271904,0.167058,0.69
-,297,0.268431,0.275414,0.170529,0.83
-,298,0.272606,0.276804,0.172774,0.84
-,299,0.277192,0.275736,0.173147,0.74
-,300,0.280966,0.273291,0.171871,0.92
-,301,0.284482,0.269277,0.1679,0.7
-,302,0.287855,0.263537,0.161433,0.79
-,303,0.291295,0.255755,0.152972,0.73
-,304,0.296287,0.245751,0.142812,0.81
-,305,0.305678,0.237129,0.131655,0.82
-,306,0.315471,0.231662,0.120464,0.87
-,307,0.323417,0.228125,0.105573,0.74
-,308,0.326573,0.225531,0.087501,0.71
-,309,0.325635,0.220586,0.073022,0.84
-,310,0.325162,0.21446,0.060912,0.74
-,311,0.328001,0.205263,0.057391,0.87
-,312,0.32831,0.196356,0.053148,0.96
-,313,0.32893,0.186281,0.051927,1.13
-,314,0.328917,0.175931,0.050678,1.04
